year,week,is_blocking,closest_center_label,time
1983,12,0,,1983-03-19
1983,13,0,,1983-03-26
1983,14,0,,1983-04-02
1983,15,0,,1983-04-09
1983,16,0,,1983-04-16
1983,17,0,,1983-04-23
1983,18,0,,1983-04-30
1983,19,0,,1983-05-07
1983,20,0,,1983-05-14
1983,21,0,,1983-05-21
1983,22,0,,1983-05-28
1983,23,0,,1983-06-04
1983,24,0,,1983-06-11
1983,25,0,,1983-06-18
1983,26,0,,1983-06-25
1983,27,0,,1983-07-02
1983,28,0,,1983-07-09
1983,29,0,,1983-07-16
1983,30,0,,1983-07-23
1983,31,1,E,1983-07-30
1983,32,1,N,1983-08-06
1983,33,1,N,1983-08-13
1983,34,1,N,1983-08-20
1983,35,1,N,1983-08-27
1983,36,0,,1983-09-03
1983,37,0,,1983-09-10
1983,38,1,E,1983-09-17
1983,39,1,N,1983-09-24
1983,40,0,,1983-10-01
1983,41,0,,1983-10-08
1983,42,1,E,1983-10-15
1983,43,1,N,1983-10-22
1983,44,0,,1983-10-29
1983,45,0,,1983-11-05
1983,46,0,,1983-11-12
1983,47,0,,1983-11-19
1983,48,0,,1983-11-26
1983,49,0,,1983-12-03
1983,50,0,,1983-12-10
1983,51,0,,1983-12-17
1983,52,0,,1983-12-24
1984,1,0,,1984-01-01
1984,2,0,,1984-01-08
1984,3,0,,1984-01-15
1984,4,0,,1984-01-22
1984,5,0,,1984-01-29
1984,6,0,,1984-02-05
1984,7,0,,1984-02-12
1984,8,0,,1984-02-19
1984,9,0,,1984-02-26
1984,10,0,,1984-03-04
1984,11,0,,1984-03-11
1984,12,0,,1984-03-18
1984,13,0,,1984-03-25
1984,14,0,,1984-04-01
1984,15,0,,1984-04-08
1984,16,0,,1984-04-15
1984,17,0,,1984-04-22
1984,18,0,,1984-04-29
1984,19,0,,1984-05-06
1984,20,0,,1984-05-13
1984,21,0,,1984-05-20
1984,22,0,,1984-05-27
1984,23,0,,1984-06-03
1984,24,0,,1984-06-10
1984,25,0,,1984-06-17
1984,26,0,,1984-06-24
1984,27,0,,1984-07-01
1984,28,0,,1984-07-08
1984,29,0,,1984-07-15
1984,30,0,,1984-07-22
1984,31,0,,1984-07-29
1984,32,0,,1984-08-05
1984,33,1,N,1984-08-12
1984,34,1,N,1984-08-19
1984,35,0,,1984-08-26
1984,36,0,,1984-09-02
1984,37,0,,1984-09-09
1984,38,0,,1984-09-16
1984,39,0,,1984-09-23
1984,40,0,,1984-09-30
1984,41,1,N,1984-10-07
1984,42,1,N,1984-10-14
1984,43,0,,1984-10-21
1984,44,0,,1984-10-28
1984,45,0,,1984-11-04
1984,46,0,,1984-11-11
1984,47,0,,1984-11-18
1984,48,0,,1984-11-25
1984,49,0,,1984-12-02
1984,50,0,,1984-12-09
1984,51,0,,1984-12-16
1984,52,0,,1984-12-23
1985,1,0,,1985-01-01
1985,2,0,,1985-01-08
1985,3,0,,1985-01-15
1985,4,0,,1985-01-22
1985,5,0,,1985-01-29
1985,6,0,,1985-02-05
1985,7,0,,1985-02-12
1985,8,0,,1985-02-19
1985,9,0,,1985-02-26
1985,10,0,,1985-03-05
1985,11,0,,1985-03-12
1985,12,0,,1985-03-19
1985,13,0,,1985-03-26
1985,14,0,,1985-04-02
1985,15,0,,1985-04-09
1985,16,0,,1985-04-16
1985,17,0,,1985-04-23
1985,18,0,,1985-04-30
1985,19,0,,1985-05-07
1985,20,0,,1985-05-14
1985,21,0,,1985-05-21
1985,22,0,,1985-05-28
1985,23,0,,1985-06-04
1985,24,0,,1985-06-11
1985,25,0,,1985-06-18
1985,26,0,,1985-06-25
1985,27,0,,1985-07-02
1985,28,0,,1985-07-09
1985,29,0,,1985-07-16
1985,30,0,,1985-07-23
1985,31,0,,1985-07-30
1985,32,1,W,1985-08-06
1985,33,1,N,1985-08-13
1985,34,1,W,1985-08-20
1985,35,1,W,1985-08-27
1985,36,1,W,1985-09-03
1985,37,0,,1985-09-10
1985,38,0,,1985-09-17
1985,39,0,,1985-09-24
1985,40,1,W,1985-10-01
1985,41,1,W,1985-10-08
1985,42,1,E,1985-10-15
1985,43,1,E,1985-10-22
1985,44,1,E,1985-10-29
1985,45,0,,1985-11-05
1985,46,0,,1985-11-12
1985,47,0,,1985-11-19
1985,48,0,,1985-11-26
1985,49,0,,1985-12-03
1985,50,0,,1985-12-10
1985,51,0,,1985-12-17
1985,52,0,,1985-12-24
1986,1,0,,1986-01-01
1986,2,0,,1986-01-08
1986,3,0,,1986-01-15
1986,4,0,,1986-01-22
1986,5,0,,1986-01-29
1986,6,0,,1986-02-05
1986,7,0,,1986-02-12
1986,8,0,,1986-02-19
1986,9,0,,1986-02-26
1986,10,0,,1986-03-05
1986,11,0,,1986-03-12
1986,12,0,,1986-03-19
1986,13,0,,1986-03-26
1986,14,0,,1986-04-02
1986,15,0,,1986-04-09
1986,16,0,,1986-04-16
1986,17,0,,1986-04-23
1986,18,0,,1986-04-30
1986,19,0,,1986-05-07
1986,20,0,,1986-05-14
1986,21,0,,1986-05-21
1986,22,0,,1986-05-28
1986,23,0,,1986-06-04
1986,24,0,,1986-06-11
1986,25,0,,1986-06-18
1986,26,0,,1986-06-25
1986,27,0,,1986-07-02
1986,28,0,,1986-07-09
1986,29,0,,1986-07-16
1986,30,0,,1986-07-23
1986,31,1,N,1986-07-30
1986,32,1,N,1986-08-06
1986,33,0,,1986-08-13
1986,34,0,,1986-08-20
1986,35,0,,1986-08-27
1986,36,0,,1986-09-03
1986,37,0,,1986-09-10
1986,38,1,S,1986-09-17
1986,39,1,S,1986-09-24
1986,40,1,N,1986-10-01
1986,41,0,,1986-10-08
1986,42,1,S,1986-10-15
1986,43,0,,1986-10-22
1986,44,0,,1986-10-29
1986,45,0,,1986-11-05
1986,46,0,,1986-11-12
1986,47,0,,1986-11-19
1986,48,0,,1986-11-26
1986,49,0,,1986-12-03
1986,50,0,,1986-12-10
1986,51,0,,1986-12-17
1986,52,0,,1986-12-24
1987,1,0,,1987-01-01
1987,2,0,,1987-01-08
1987,3,0,,1987-01-15
1987,4,0,,1987-01-22
1987,5,0,,1987-01-29
1987,6,0,,1987-02-05
1987,7,0,,1987-02-12
1987,8,0,,1987-02-19
1987,9,0,,1987-02-26
1987,10,0,,1987-03-05
1987,11,0,,1987-03-12
1987,12,0,,1987-03-19
1987,13,0,,1987-03-26
1987,14,0,,1987-04-02
1987,15,0,,1987-04-09
1987,16,0,,1987-04-16
1987,17,0,,1987-04-23
1987,18,0,,1987-04-30
1987,19,0,,1987-05-07
1987,20,0,,1987-05-14
1987,21,0,,1987-05-21
1987,22,0,,1987-05-28
1987,23,0,,1987-06-04
1987,24,0,,1987-06-11
1987,25,0,,1987-06-18
1987,26,0,,1987-06-25
1987,27,0,,1987-07-02
1987,28,0,,1987-07-09
